軍種,廠名,製造所・部名,製造品目,備考
陸軍,東京第一陸軍造兵廠,第一製造所,銃砲,N/A
陸軍,東京第一陸軍造兵廠,第二製造所,精器,N/A
陸軍,東京第一陸軍造兵廠,第三製造所,火具,N/A
陸軍,東京第一陸軍造兵廠,仙台製造所,N/A,第一製造所
陸軍,東京第一陸軍造兵廠,大宮製造所,N/A,第二製造所
陸軍,東京第一陸軍造兵廠,池田工場,N/A,N/A
陸軍,東京第一陸軍造兵廠,川越製造所,N/A,第三製造所
陸軍,東京第一陸軍造兵廠,滝野川工場,N/A,第三製造所
陸軍,東京第二陸軍造兵廠,板橋製造所,火薬,N/A
陸軍,東京第二陸軍造兵廠,岩鼻製造所,火薬,N/A
陸軍,東京第二陸軍造兵廠,多摩製造所,炸薬,N/A
陸軍,東京第二陸軍造兵廠,宇治製造所,火薬,N/A
陸軍,東京第二陸軍造兵廠,香里製造所,火薬,N/A
陸軍,東京第二陸軍造兵廠,忠海製造所,毒ガス製造,N/A
陸軍,東京第二陸軍造兵廠,坂ノ市製造所,火薬,N/A
陸軍,東京第二陸軍造兵廠,曽根製造所,毒ガス装填,N/A
陸軍,東京第二陸軍造兵廠,荒尾製造所,火薬・炸薬,N/A
陸軍,相模陸軍造兵廠,第一製造所,戦車,N/A
陸軍,相模陸軍造兵廠,第二製造所,弾丸,N/A
陸軍,名古屋陸軍造兵廠,熱田製造所,車輌・火砲,N/A
陸軍,名古屋陸軍造兵廠,高蔵製造所,薬莢・砲弾弾体,N/A
陸軍,名古屋陸軍造兵廠,鷹来製造所,弾丸,N/A
陸軍,名古屋陸軍造兵廠,千種製造所,機銃,N/A
陸軍,名古屋陸軍造兵廠,鳥居松製造所,小銃,N/A
陸軍,大阪陸軍造兵廠,第一製造所,火砲,N/A
陸軍,大阪陸軍造兵廠,第二製造所,弾丸,N/A
陸軍,大阪陸軍造兵廠,第三製造所,薬莢,N/A
陸軍,大阪陸軍造兵廠,第四製造所,素材（除非鉄金属）,N/A
陸軍,大阪陸軍造兵廠,第五製造所,信管,N/A
陸軍,大阪陸軍造兵廠,牧方製造所,N/A,第二・第五製造所
陸軍,大阪陸軍造兵廠,播磨製造所,N/A,N/A
陸軍,小倉陸軍造兵廠,第一製造所,車輌・軍刀,N/A
陸軍,小倉陸軍造兵廠,第二製造所,機銃,N/A
陸軍,小倉陸軍造兵廠,第三製造所,砲弾,N/A
陸軍,陸軍航空工廠,N/A,航空機,N/A
陸軍,府中陸軍燃料廠,府中,燃料,N/A
陸軍,岩国陸軍燃料廠,岩国,航空燃料・潤滑油,N/A
海軍,横須賀海軍工廠,造船部,艦艇,N/A
海軍,横須賀海軍工廠,造機部,機関,N/A
海軍,横須賀海軍工廠,造兵部,兵器（呉廠の砲熕〜火工参照）,N/A
海軍,呉海軍工廠,造船部,艦艇,N/A
海軍,呉海軍工廠,造機部,機関,N/A
海軍,呉海軍工廠,砲熕部,砲熕・光学兵器,N/A
海軍,呉海軍工廠,水雷部,水雷・航海兵器,N/A
海軍,呉海軍工廠,電気部,無線・電気兵器,N/A
海軍,呉海軍工廠,火工部,砲弾・信管・火薬・化学兵器,N/A
海軍,呉海軍工廠,潜水艦部,潜水艦,N/A
海軍,呉海軍工廠,製鋼部,鋼材,N/A
海軍,佐世保海軍工廠,造船部,艦艇,N/A
海軍,佐世保海軍工廠,造機部,機関,N/A
海軍,佐世保海軍工廠,造兵部,兵器,N/A
海軍,舞鶴海軍工廠,造船部,艦艇,N/A
海軍,舞鶴海軍工廠,造機部,機関,N/A
海軍,舞鶴海軍工廠,造兵部,兵器,N/A
海軍,光海軍工廠,造機部,機関,N/A
海軍,光海軍工廠,砲熕部,砲熕・光学兵器,N/A
海軍,光海軍工廠,水雷部,水雷・航海兵器,N/A
海軍,光海軍工廠,爆弾部,爆弾,N/A
海軍,光海軍工廠,製鋼部,鋼材,N/A
海軍,広海軍工廠,造機部,機関,N/A
海軍,豊川海軍工廠,機銃部,機銃,N/A
海軍,豊川海軍工廠,火工部,弾丸・信管・薬莢・火薬,N/A
海軍,豊川海軍工廠,光学部,測距儀・望遠鏡,N/A
海軍,豊川海軍工廠,指揮兵器部,照準器,N/A
海軍,第十一海軍航空廠,飛行機部,機体,N/A
海軍,第十一海軍航空廠,発動機部,発動機,N/A
海軍,第十一海軍航空廠,兵器部（新宮工場）,発着兵器・着艦装置,N/A
海軍,第二十一海軍航空廠(佐世保→大村),航空機部,機体,N/A
海軍,第二十一海軍航空廠(佐世保→大村),発動機部,発動機,N/A
海軍,第二十一海軍航空廠(佐世保→大村),兵器部,航空・光学兵器,N/A
海軍,第一海軍火薬廠,N/A,火薬,N/A
海軍,第二海軍火薬廠,N/A,火薬・綿薬・酸,N/A
海軍,第三海軍火薬廠,N/A,火薬,N/A
海軍,第一海軍燃料廠,N/A,燃料（実験用）,N/A
海軍,第二海軍燃料廠,N/A,液体燃料・潤滑油,N/A
海軍,第三海軍燃料廠,N/A,液体燃料・潤滑油,N/A
海軍,第四海軍燃料廠,N/A,石炭,N/A
