会社名,製鉄所名,高炉名,容積（m3）,備考
新日本製鉄,八幡製鉄所,洞岡第四高炉,1540,N/A
新日本製鉄,八幡製鉄所,戸畑第一高炉,4140,N/A
新日本製鉄,八幡製鉄所,戸畑第二高炉,1657,N/A
新日本製鉄,八幡製鉄所,戸畑第三高炉,1947,N/A
新日本製鉄,八幡製鉄所,戸畑第四高炉,3799,N/A
新日本製鉄,室蘭製鉄所,第一高炉,1254,N/A
新日本製鉄,室蘭製鉄所,第二高炉,1249,N/A
新日本製鉄,室蘭製鉄所,第三高炉,1249,N/A
新日本製鉄,室蘭製鉄所,第四高炉,1921,N/A
新日本製鉄,釜石製鉄所,第一高炉,1150,N/A
新日本製鉄,釜石製鉄所,第二高炉,1730,N/A
新日本製鉄,広畑製鉄所,第一高炉,1407,N/A
新日本製鉄,広畑製鉄所,第二高炉,N/A,廃止(49.7)
新日本製鉄,広畑製鉄所,第三高炉,1691,N/A
新日本製鉄,広畑製鉄所,第四高炉,2548,N/A
新日本製鉄,君津製鉄所,第一高炉,2705,N/A
新日本製鉄,君津製鉄所,第二高炉,N/A,休止中
新日本製鉄,君津製鉄所,第三高炉,4063,N/A
新日本製鉄,君津製鉄所,第四高炉,4930,N/A
新日本製鉄,名古屋製鉄所,第一高炉,2518,N/A
新日本製鉄,名古屋製鉄所,第二高炉,2520,N/A
新日本製鉄,名古屋製鉄所,第三高炉,3240,N/A
新日本製鉄,堺製鉄所,第一高炉,2501,N/A
新日本製鉄,堺製鉄所,第二高炉,2797,N/A
新日本製鉄,大分製鉄所,第一高炉,4158,N/A
新日本製鉄,大分製鉄所,第二高炉,N/A,建設中
川崎製鉄,千葉製鉄所,第一高炉,913,N/A
川崎製鉄,千葉製鉄所,第二高炉,1380,N/A
川崎製鉄,千葉製鉄所,第三高炉,1845,N/A
川崎製鉄,千葉製鉄所,第四高炉,1689,N/A
川崎製鉄,千葉製鉄所,第五高炉,2584,N/A
川崎製鉄,千葉製鉄所,第六高炉,N/A,建設中
川崎製鉄,水島製鉄所,第一高炉,2156,N/A
川崎製鉄,水島製鉄所,第二高炉,2857,N/A
川崎製鉄,水島製鉄所,第三高炉,3363,N/A
川崎製鉄,水島製鉄所,第四高炉,4323,N/A
日本鋼管,京浜製鉄所,川崎第二高炉,1148,N/A
日本鋼管,京浜製鉄所,川崎第三高炉,936,N/A
日本鋼管,京浜製鉄所,水江第一高炉,1728,N/A
日本鋼管,京浜製鉄所,扇島第一高炉,N/A,建設中
日本鋼管,福山製鉄所,第一高炉,2323,N/A
日本鋼管,福山製鉄所,第二高炉,2828,N/A
日本鋼管,福山製鉄所,第三高炉,3223,N/A
日本鋼管,福山製鉄所,第四高炉,4197,N/A
日本鋼管,福山製鉄所,第五高炉,4617,N/A
住友金属工業,和歌山製鉄所,第一高炉,1633,N/A
住友金属工業,和歌山製鉄所,第二高炉,1657,N/A
住友金属工業,和歌山製鉄所,第三高炉,1672,N/A
住友金属工業,和歌山製鉄所,第四高炉,2535,N/A
住友金属工業,和歌山製鉄所,第五高炉,2700,N/A
住友金属工業,鹿島製鉄所,第一高炉,3159,N/A
住友金属工業,鹿島製鉄所,第二高炉,4080,N/A
住友金属工業,鹿島製鉄所,第三高炉,N/A,建設中
住友金属工業,小倉製鉄所,第一高炉,750,N/A
住友金属工業,小倉製鉄所,第二高炉,1350,N/A
神戸製鋼所,神戸製鉄所,第一高炉,757,N/A
神戸製鋼所,神戸製鉄所,第二高炉,1618,N/A
神戸製鋼所,神戸製鉄所,第三高炉,1845,N/A
神戸製鋼所,加古川製鉄所,第一高炉,3090,N/A
神戸製鋼所,加古川製鉄所,第二高炉,3850,N/A
神戸製鋼所,尼崎製鉄所,第一高炉,721,N/A
神戸製鋼所,尼崎製鉄所,第二高炉,904,N/A
日新製鋼,呉製鉄所,第一高炉,2040,N/A
日新製鋼,呉製鉄所,第二高炉,1650,N/A
中山製鋼所,船町工場,第一高炉,684,N/A
中山製鋼所,船町工場,第二高炉,757,N/A
大阪製鋼,西島工場,第二高炉,568,N/A
岩手製鉄,本社工場,第三高炉,518,N/A
矢作製鉄,本社工場,高炉,361,N/A
